Timestamp,OTR or COTA?,Setting: ,Education,Years of experience,State ,City/town (or Country if not US),Zip code,Geographic area,My work is:,Average hours / week,My pay rate is,HOURLY RATE,Yearly income from this job,Benefits,"What certifications or special training you have, if applicable (leave blank if none)",Productivity expectations,Anything further you'd like to mention regarding salary?,Gender (for gender gap comparisons),Did you negotiate your rate?
© OTSalary.com,,Access the survey to add your own data at: https://otsalary.com/,,,,,,,,,,,,,,,,,
11/18/2017,OT,"Acute, Inpatient, Outpatient, Hand Therapy, Adult, Geriatrics",Masters,1,NC,Spruce Pine,28777,Rural,Full time,40+,Hourly,27.93,"58,094.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",LSVT® BIG Certified Clinician,75%,,Female,no
11/18/2017,OT,School system,Masters,10+,MN,St. Paul,55075,Large metro area,Part time,30+,Contract,42.95,"67,000.00",401K or equivalent,,N/A,,Female,
11/18/2017,OT,Acute,Masters,New grad / less than a year,NC,Raleigh,27540,Large metro area,PRN,20+,PRN,37.50,"36,000.00",None,,85%,,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,AZ,Scottsdale,85257,Large metro area,Full time,30+,Hourly,35.00,"68,000.00","401K or equivalent, Health insurance, Dental, Vision",,85%,,Female,
11/18/2017,OT,"Outpatient, SNF, LTC, Home health",Masters,25+,SC,Greenville,29601,City,Full time,30+,Hourly,42.00,"66,000.00","Health insurance, Dental, Vision",PAMS,80%,,Female,
11/18/2017,OT,"Acute, Inpatient",Masters,2,FL,West Palm Beach,33411,City,Full time,35+,Hourly,32.60,"63,000.00","401K or equivalent, Health insurance, Vision, Disibility",,85%,,Female,
11/18/2017,OT,Acute,Masters,3,AR,Jonesboro ,72404,City,Full time,40+,Hourly,31.35,"65,208.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,22-24 units,,Female,
11/18/2017,COTA,SNF,Associates,4,IL,Jacksonville,62010,City,Full time,40+,Hourly,25.00,"60,000.00","Health insurance, Dental, Vision",,92,,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,CA,Mountain View,94040,Large metro area,Full time,35+,Hourly,42.00,"87,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,85%,,Male,
